Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Anthony Martial,18,4,13,24,22,17,1480,16.4,4,3,4,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2,8.5,0.4,0.12,0.51,0.4,0.51,1,1,0,0,1,0,7,0,7,148,42,28.4,13,39,96,22,5,0,17,4,5,9,0,404,488,82.8,5653,1141,248,280,88.6,120,144,83.3,16,20,80,1,15,26,15,0,43,FALSE,FALSE,FALSE,FALSE
Martinelli,7,4,1,19,14,7,589,6.5,2,1,2,0.31,0.15,0.46,0.31,0.46,3.4,3.4,2.1,5.5,0.53,0.32,0.85,0.53,0.85,6,1,2,3,1,4,12,33.3,8,136,29,21.3,18,46,72,10,1,0,9,8,14,6,0,126,159,79.2,1863,421,74,88,84.1,46,56,82.1,4,8,50,-1.1,9,2,7,3,8,FALSE,FALSE,FALSE,FALSE
Arthur Masuaku,10,2,19,26,12,12,1006,11.2,0,2,0,0,0.18,0.18,0,0.18,0.3,0.3,1.9,2.2,0.03,0.17,0.19,0.03,0.19,20,13,15,4,1,11,34,32.4,23,136,42,30.9,79,40,17,35,0,0,35,6,26,16,0,442,552,80.1,7513,2551,245,272,90.1,151,190,79.5,41,66,62.1,0.1,13,25,16,10,39,FALSE,FALSE,FALSE,FALSE
Juan Mata,17,6,13,32,9,6,509,5.7,1,2,0,0.18,0.35,0.53,0,0.35,1.1,0.3,0.8,1.2,0.19,0.15,0.34,0.06,0.21,2,2,1,1,0,0,5,0,5,65,14,21.5,16,24,25,2,0,0,2,2,4,3,0,247,294,84,3813,827,147,159,92.5,73,87,83.9,22,34,64.7,1.2,8,18,4,1,19,FALSE,FALSE,FALSE,FALSE
Nemanja Matić,47,7,13,31,20,12,1106,12.3,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,24,15,13,10,1,10,31,32.3,21,175,56,32,79,81,15,30,5,0,25,18,42,21,1,882,975,90.5,16853,4366,346,371,93.3,418,450,92.9,109,135,80.7,-0.4,7,83,10,3,79,FALSE,FALSE,FALSE,FALSE
Joël Matip,9,1,11,28,10,9,691,7.7,1,2,1,0.13,0.26,0.39,0.13,0.39,0.6,0.6,1,1.7,0.08,0.14,0.22,0.08,0.22,15,11,11,4,0,5,8,62.5,3,58,24,41.4,35,20,3,7,0,0,7,4,19,28,0,466,527,88.4,10052,2584,127,136,93.4,256,271,94.5,80,114,70.2,1,2,30,1,0,15,FALSE,FALSE,FALSE,FALSE
Neal Maupay,18,6,3,23,33,29,2512,27.9,8,2,5,0.29,0.07,0.36,0.18,0.25,13,9.9,3.6,13.5,0.46,0.13,0.59,0.36,0.48,24,18,6,12,6,4,18,22.2,14,475,146,30.7,74,187,214,18,2,0,16,12,36,9,0,508,656,77.4,7903,1364,255,310,82.3,186,222,83.8,37,60,61.7,-1.6,31,32,28,4,41,FALSE,FALSE,FALSE,FALSE
James McArthur,44,7,6,32,18,17,1466,16.3,0,2,0,0,0.12,0.12,0,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,56,26,29,22,5,18,45,40,27,378,102,27,159,182,37,39,4,0,35,23,79,25,0,627,769,81.5,11897,3424,240,276,87,288,327,88.1,83,128,64.8,1.1,13,63,6,0,60,FALSE,FALSE,FALSE,FALSE
Oliver McBurnie,44,4,15,24,23,12,1324,14.7,1,0,1,0.07,0,0.07,0.07,0.07,3.1,3.1,1.1,4.1,0.21,0.07,0.28,0.21,0.28,13,7,6,5,2,5,19,26.3,14,296,62,20.9,24,162,110,17,4,0,13,8,21,25,0,268,426,62.9,3690,1051,167,246,67.9,82,133,61.7,7,11,63.6,-1.1,14,21,16,0,43,FALSE,FALSE,FALSE,FALSE
James McCarthy,23,7,6,29,16,10,821,9.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.03,0.03,0,0.03,18,8,12,6,0,10,25,40,15,181,42,23.2,86,82,13,20,8,0,12,8,26,12,0,254,329,77.2,5343,1306,84,100,84,116,137,84.7,49,79,62,-0.3,6,26,4,3,24,FALSE,FALSE,FALSE,FALSE
John McGinn,44,7,2,25,37,37,3330,37,3,5,3,0.08,0.14,0.22,0.08,0.22,2.2,2.2,3,5.3,0.06,0.08,0.14,0.06,0.14,74,46,24,38,12,22,76,28.9,54,649,168,25.9,206,330,113,39,5,0,34,45,119,30,2,1080,1398,77.3,23732,7706,360,418,86.1,466,569,81.9,227,349,65,2,40,179,44,6,179,FALSE,FALSE,FALSE,FALSE
David McGoldrick,23,6,15,32,35,28,2397,26.6,8,1,8,0.3,0.04,0.34,0.3,0.34,6.9,6.9,1.3,8.2,0.26,0.05,0.31,0.26,0.31,30,16,6,16,8,9,34,26.5,25,434,105,24.2,70,191,173,36,4,0,32,12,42,29,0,699,940,74.4,11570,2027,371,464,80,255,337,75.7,62,95,65.3,-0.3,15,48,24,3,68,FALSE,FALSE,FALSE,FALSE
Dwight McNeil,16,7,4,20,36,34,3069,34.1,2,5,2,0.06,0.15,0.21,0.06,0.21,1.1,1.1,6.5,7.6,0.03,0.19,0.22,0.03,0.22,43,22,17,21,5,11,52,21.2,41,585,138,23.6,156,286,143,58,6,0,52,38,81,27,1,920,1336,68.9,18456,5542,395,452,87.4,336,429,78.3,169,369,45.8,-1.5,50,74,41,24,77,FALSE,FALSE,FALSE,FALSE
Scott McTominay,44,7,13,23,32,24,2129,23.7,4,1,4,0.17,0.04,0.21,0.17,0.21,2.1,2.1,0.9,3.1,0.09,0.04,0.13,0.09,0.13,48,29,26,16,6,16,40,40,24,348,107,30.7,124,171,53,56,15,0,41,51,99,54,0,1109,1270,87.3,21728,5711,427,466,91.6,511,567,90.1,155,205,75.6,0.1,14,109,9,1,104,FALSE,FALSE,FALSE,FALSE
Ben Mee,16,1,4,30,30,30,2693,29.9,2,0,2,0.07,0,0.07,0.07,0.07,1.6,1.6,0.3,2,0.06,0.01,0.07,0.06,0.07,38,24,19,17,2,8,23,34.8,15,162,50,30.9,95,56,11,61,43,1,18,35,73,241,1,784,1044,75.1,18309,6982,232,270,85.9,341,401,85,199,349,57,-0.3,6,51,1,0,64,FALSE,FALSE,FALSE,FALSE
Benjamin Mendy,18,1,12,26,13,11,953,10.6,2,1,2,0.19,0.09,0.28,0.19,0.28,0.4,0.4,0.4,0.9,0.04,0.04,0.08,0.04,0.08,15,10,3,7,5,5,18,27.8,13,125,42,33.6,32,52,41,24,5,0,19,6,21,11,1,532,651,81.7,9755,2601,205,233,88,269,307,87.6,54,90,60,0.6,5,28,10,3,49,FALSE,FALSE,FALSE,FALSE
Nampalys Mendy,45,7,10,28,23,15,1459,16.2,0,1,0,0,0.06,0.06,0,0.06,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03,35,22,19,14,2,7,17,41.2,10,267,84,31.5,106,123,38,24,2,0,22,9,44,11,0,882,965,91.4,15259,3059,404,434,93.1,382,409,93.4,81,101,80.2,0.6,6,78,0,0,49,FALSE,FALSE,FALSE,FALSE
Luka Milivojević,47,7,6,29,31,27,2359,26.2,1,1,0,0.04,0.04,0.08,0,0.04,2.3,0.8,1.3,2.1,0.09,0.05,0.14,0.03,0.08,67,44,28,33,6,32,81,39.5,49,463,135,29.2,198,220,45,47,6,0,41,44,111,50,0,1029,1269,81.1,20757,6655,376,424,88.7,460,537,85.7,173,260,66.5,-0.3,20,104,13,2,108,FALSE,FALSE,FALSE,FALSE
James Milner,16,8,11,34,26,11,1070,11.9,0,1,0,0,0.08,0.08,0,0.08,0.4,0.4,1.2,1.7,0.04,0.1,0.14,0.04,0.14,26,14,8,16,2,10,36,27.8,26,209,69,33,52,121,36,39,4,0,35,16,42,21,1,776,914,84.9,14666,4242,332,360,92.2,331,369,89.7,105,146,71.9,-0.2,13,76,26,5,89,FALSE,FALSE,FALSE,FALSE
Yerry Mina,11,1,7,25,24,23,1937,21.5,2,0,2,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.06,0,0.06,0.06,0.06,25,12,19,6,0,7,10,70,3,148,43,29.1,101,45,2,38,26,0,12,13,38,130,1,1115,1227,90.9,23055,6367,294,313,93.9,634,664,95.5,160,214,74.8,0,0,49,0,0,45,FALSE,FALSE,FALSE,FALSE
Takumi Minamino,28,9,16,25,10,9,711,7.9,2,0,2,0.25,0,0.25,0.25,0.25,1.2,1.2,0.5,1.7,0.15,0.07,0.22,0.15,0.22,5,2,2,3,0,1,16,6.3,15,146,45,30.8,35,81,30,10,1,0,9,8,13,11,0,186,257,72.4,2866,533,99,125,79.2,69,88,78.4,11,26,42.3,-0.5,5,11,5,0,17,FALSE,FALSE,FALSE,FALSE
Tyrone Mings,16,1,2,27,36,36,3194,35.5,2,2,2,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.6,2.5,0.05,0.02,0.07,0.05,0.07,33,18,24,7,2,14,26,53.8,12,252,71,28.2,146,87,19,84,47,1,37,38,71,230,5,1262,1585,79.6,29862,11824,288,324,88.9,707,768,92.1,257,462,55.6,1.4,7,120,6,2,108,FALSE,FALSE,FALSE,FALSE
Tyrick Mitchell,16,1,6,20,19,19,1710,19,1,1,1,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,69,29,52,8,9,19,35,54.3,16,404,98,24.3,275,88,41,51,8,0,43,30,99,67,1,547,779,70.2,8911,5506,274,322,85.1,220,308,71.4,40,92,43.5,0.6,3,50,10,6,55,FALSE,FALSE,FALSE,FALSE
Aleksandar Mitrović,47,4,8,25,27,13,1402,15.6,3,3,2,0.19,0.19,0.39,0.13,0.32,6.5,5,2.6,7.6,0.42,0.17,0.59,0.32,0.49,11,9,1,4,6,2,7,28.6,5,195,71,36.4,12,66,117,18,4,0,14,3,14,7,0,292,384,76,3977,615,181,223,81.2,76,107,71,16,24,66.7,0.4,22,12,13,1,20,FALSE,FALSE,FALSE,FALSE
Jakub Moder,41,3,3,21,12,7,647,7.2,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,0.12,0.02,0.14,0.12,0.14,16,8,7,6,3,4,17,23.5,13,134,39,29.1,43,49,42,17,1,0,16,8,24,14,0,200,268,74.6,2874,870,118,135,87.4,71,90,78.9,6,24,25,-0.2,3,17,7,0,21,FALSE,FALSE,FALSE,FALSE
Mason Mount,16,9,5,21,36,32,2890,32.1,6,5,5,0.19,0.16,0.34,0.16,0.31,6.8,6,7.8,13.8,0.21,0.24,0.45,0.19,0.43,75,44,25,33,17,21,70,30,49,685,205,29.9,141,326,218,47,2,0,45,36,111,15,0,1548,1881,82.3,27434,7401,763,849,89.9,541,626,86.4,199,301,66.1,-2.8,90,144,58,7,182,FALSE,FALSE,FALSE,FALSE
Lucas Moura,7,6,17,27,30,14,1411,15.7,3,4,3,0.19,0.26,0.45,0.19,0.45,2.2,2.2,2.3,4.5,0.14,0.14,0.29,0.14,0.29,34,22,11,19,4,9,30,30,21,269,65,24.2,69,129,71,18,1,0,17,20,54,11,0,448,600,74.7,6841,1695,254,310,81.9,159,194,82,23,58,39.7,1.7,16,30,14,3,47,FALSE,FALSE,FALSE,FALSE
Lys Mousset,18,6,15,24,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32,0,0,0,0,0,0,3,0,3,60,11,18.3,1,22,37,1,1,0,0,0,0,1,0,40,50,80,671,93,21,27,77.8,15,18,83.3,2,3,66.7,-0.3,3,5,0,0,3,FALSE,FALSE,FALSE,FALSE
João Moutinho,42,7,20,33,33,28,2528,28.1,1,1,1,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.6,3.3,0.02,0.09,0.12,0.02,0.12,70,46,36,28,6,29,94,30.9,65,543,160,29.5,206,267,70,40,3,0,37,39,109,31,0,1540,1817,84.8,30715,7297,537,586,91.6,718,787,91.2,253,382,66.2,-1.6,47,117,19,6,123,FALSE,FALSE,FALSE,FALSE
Jacob Murphy,16,3,14,25,26,17,1626,18.1,2,3,2,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,49,35,32,14,3,29,54,53.7,25,351,95,27.1,181,114,56,41,5,0,36,20,69,34,0,416,608,68.4,7545,3364,188,224,83.9,159,220,72.3,59,128,46.1,0.6,18,26,28,10,44,FALSE,FALSE,FALSE,FALSE
Shkodran Mustafi,20,1,1,28,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,7,2,28.6,3,4,0,1,0,0,1,0,1,2,0,41,48,85.4,1100,210,2,2,100,31,34,91.2,8,12,66.7,0,0,2,0,0,4,FALSE,FALSE,FALSE,FALSE
Marvelous Nakamba,55,7,2,26,13,9,749,8.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0.01,23,14,9,14,0,4,10,40,6,208,62,29.8,108,89,11,21,5,0,16,11,34,18,0,234,273,85.7,4243,950,99,112,88.4,99,111,89.2,30,43,69.8,0,1,16,0,0,9,FALSE,FALSE,FALSE,FALSE
Wilfred Ndidi,36,8,10,23,26,25,2176,24.2,1,4,1,0.04,0.17,0.21,0.04,0.21,0.8,0.8,1.5,2.2,0.03,0.06,0.09,0.03,0.09,108,73,50,49,9,30,75,40,45,489,183,37.4,198,245,46,66,13,0,53,62,170,77,0,1201,1363,88.1,22396,4643,485,546,88.8,529,565,93.6,161,206,78.2,2.5,15,80,4,0,57,FALSE,FALSE,FALSE,FALSE
Tanguy Ndombele,18,7,17,23,33,28,2091,23.2,3,2,3,0.13,0.09,0.22,0.13,0.22,1.4,1.4,2.4,3.8,0.06,0.1,0.16,0.06,0.16,49,32,12,25,12,11,43,25.6,32,454,152,33.5,134,240,80,35,4,0,31,30,79,19,0,994,1165,85.3,15903,4088,527,588,89.6,345,404,85.4,81,110,73.6,-0.4,16,91,22,0,101,FALSE,FALSE,FALSE,FALSE
Pedro Neto,42,6,20,20,31,30,2550,28.3,5,6,5,0.18,0.21,0.39,0.18,0.39,4.8,4.8,6.2,11,0.17,0.22,0.39,0.17,0.39,21,18,7,6,8,5,30,16.7,25,333,95,28.5,83,146,104,25,2,0,23,29,50,11,0,955,1212,78.8,15501,3302,512,560,91.4,317,390,81.3,92,185,49.7,-0.2,60,34,39,24,53,FALSE,FALSE,FALSE,FALSE
Rúben Neves,42,7,20,23,36,31,2675,29.7,5,1,2,0.17,0.03,0.2,0.07,0.1,5.1,2.9,2.1,5,0.17,0.07,0.24,0.1,0.17,90,66,45,38,7,37,95,38.9,58,584,195,33.4,242,287,55,71,11,0,60,46,136,54,1,1633,1937,84.3,38493,8615,419,476,88,800,888,90.1,406,537,75.6,-1.1,32,203,21,2,140,FALSE,FALSE,FALSE,FALSE
Eddie Nketiah,16,4,1,21,17,4,423,4.7,2,1,2,0.43,0.21,0.64,0.43,0.64,2.4,2.4,0.8,3.3,0.52,0.18,0.7,0.52,0.7,4,3,0,2,2,0,2,0,2,109,14,12.8,10,51,48,7,2,0,5,1,5,4,0,73,89,82,1014,102,48,59,81.4,20,24,83.3,3,3,100,0.2,5,3,2,0,3,FALSE,FALSE,FALSE,FALSE
Niels Nkounkou,18,2,7,19,2,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,4,0,2,1,1,1,6,16.7,5,29,7,24.1,8,14,7,5,0,0,5,0,4,4,0,27,34,79.4,480,107,15,15,100,8,10,80,4,8,50,0,0,3,0,0,2,FALSE,FALSE,FALSE,FALSE
Dan Nlundulu,16,4,16,21,13,0,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0.02,0.1,0.08,0.1,0,0,0,0,0,0,2,0,2,30,7,23.3,5,9,16,5,0,0,5,0,0,2,0,22,33,66.7,398,55,10,16,62.5,11,12,91.7,1,1,100,0,1,3,1,0,2,FALSE,FALSE,FALSE,FALSE
Mark Noble,16,7,19,33,21,8,712,7.9,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03,7,5,3,3,1,2,14,14.3,12,116,23,19.8,46,57,13,9,3,0,6,11,18,7,0,374,429,87.2,7323,1739,147,162,90.7,161,175,92,61,76,80.3,-0.2,5,41,6,3,25,FALSE,FALSE,FALSE,FALSE
Oliver Norwood,37,7,15,29,32,26,2220,24.7,0,0,0,0,0,0,0,0,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,57,29,22,32,3,17,78,21.8,61,459,106,23.1,170,233,56,37,12,1,25,40,97,61,1,1180,1483,79.6,27097,7444,350,394,88.8,544,624,87.2,277,446,62.1,-1.7,31,131,29,10,106,FALSE,FALSE,FALSE,FALSE
Jack O'Connell,16,1,15,26,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,2,0,2,10,4,40,5,2,3,6,3,0,3,0,3,11,0,60,77,77.9,1225,531,23,24,95.8,24,30,80,12,20,60,0,0,4,2,0,6,FALSE,FALSE,FALSE,FALSE
Dara O'Shea,23,1,18,21,28,25,2102,23.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0.01,0.01,0.01,0.01,51,30,33,15,3,16,45,35.6,29,252,88,34.9,157,80,15,53,20,1,33,39,90,143,0,566,857,66,12412,5876,217,252,86.1,221,308,71.8,122,269,45.4,-0.1,6,70,4,0,57,FALSE,FALSE,FALSE,FALSE
Denis Odoi,5,1,8,32,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,3,0,2,1,0,1,4,25,3,23,3,13,11,8,4,6,1,0,5,1,4,11,0,153,185,82.7,3165,1036,54,60,90,72,82,87.8,25,36,69.4,-0.1,1,11,2,1,10,FALSE,FALSE,FALSE,FALSE
Angelo Ogbonna,26,1,19,32,28,28,2492,27.7,3,0,3,0.11,0,0.11,0.11,0.11,1.5,1.5,1,2.5,0.05,0.04,0.09,0.05,0.09,27,20,22,3,2,4,17,23.5,13,218,86,39.4,133,75,10,41,15,0,26,27,54,167,0,810,960,84.4,17791,4668,191,214,89.3,468,511,91.6,140,216,64.8,-1,3,27,0,0,26,FALSE,FALSE,FALSE,FALSE
Josh Onomah,16,7,8,23,11,4,374,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.15,0.01,0.17,0.15,0.17,10,5,1,6,3,0,7,0,7,91,22,24.2,16,48,27,4,2,0,2,3,13,4,0,149,166,89.8,2404,472,74,83,89.2,58,60,96.7,12,17,70.6,-0.1,2,12,3,0,16,FALSE,FALSE,FALSE,FALSE
Divock Origi,5,4,11,25,9,2,186,2.1,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.47,0.11,0.58,0.47,0.58,5,4,1,3,1,1,1,100,0,44,16,36.4,3,14,27,4,1,0,3,1,6,2,0,46,60,76.7,564,77,26,30,86.7,15,20,75,0,2,0,-0.2,2,2,0,0,1,FALSE,FALSE,FALSE,FALSE
Ben Osborn,16,8,15,25,24,17,1604,17.8,1,0,1,0.06,0,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,29,16,17,8,4,11,47,23.4,36,394,87,22.1,123,166,105,29,3,0,26,16,45,16,0,663,840,78.9,10376,3744,393,435,90.3,207,247,83.8,51,122,41.8,-2.1,19,54,28,11,70,FALSE,FALSE,FALSE,FALSE
Owen Otasowie,53,9,20,19,6,2,187,2.1,0,1,0,0,0.48,0.48,0,0.48,0.6,0.6,0.1,0.7,0.27,0.07,0.34,0.27,0.34,7,5,3,4,0,0,1,0,1,35,18,51.4,8,22,5,3,1,0,2,3,10,2,0,45,64,70.3,691,118,22,33,66.7,16,20,80,4,7,57.1,0.9,2,0,0,0,2,FALSE,FALSE,FALSE,FALSE
Alex Oxlade-Chamberlain,16,6,11,26,13,2,253,2.8,1,1,1,0.36,0.36,0.71,0.36,0.71,0.4,0.4,0.2,0.6,0.13,0.08,0.21,0.13,0.21,2,1,0,2,0,0,7,0,7,49,13,26.5,4,26,19,3,0,0,3,1,3,1,0,104,138,75.4,2185,456,38,50,76,43,54,79.6,19,22,86.4,0.8,2,17,2,0,15,FALSE,FALSE,FALSE,FALSE
Emerson Palmieri,26,1,5,25,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,3,33.3,2,14,3,21.4,6,3,5,2,0,0,2,1,4,10,0,51,63,81,927,203,27,28,96.4,15,19,78.9,8,11,72.7,0,0,1,1,1,0,FALSE,FALSE,FALSE,FALSE
Thomas Partey,21,7,1,27,24,18,1534,17,0,2,0,0,0.12,0.12,0,0.12,1.3,1.3,1,2.3,0.08,0.06,0.14,0.08,0.14,47,30,21,22,4,18,47,38.3,29,276,95,34.4,111,122,43,29,5,0,24,26,73,25,0,966,1112,86.9,18748,5119,381,419,90.9,422,467,90.4,142,193,73.6,1,12,124,10,0,108,FALSE,FALSE,FALSE,FALSE
Lee Peltier,16,1,18,33,4,3,229,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,9,1,0,3,3,100,0,32,12,37.5,15,14,3,2,0,0,2,2,12,12,0,48,76,63.2,895,258,21,23,91.3,22,28,78.6,5,21,23.8,0,1,4,2,1,2,FALSE,FALSE,FALSE,FALSE
Nicolas Pépé,8,4,1,25,29,16,1616,18,10,1,9,0.56,0.06,0.61,0.5,0.56,7,6.2,0.9,7.1,0.39,0.05,0.44,0.35,0.39,20,16,8,10,2,8,24,33.3,16,234,60,25.6,46,81,107,25,2,0,23,18,38,13,1,510,674,75.7,7447,1466,296,351,84.3,172,211,81.5,28,59,47.5,0.1,11,17,17,1,40,FALSE,FALSE,FALSE,FALSE
Matheus Pereira,7,9,18,24,33,30,2577,28.6,11,6,7,0.38,0.21,0.59,0.24,0.45,7.2,4.1,5.4,9.5,0.25,0.19,0.44,0.14,0.33,33,20,14,13,6,10,46,21.7,36,459,116,25.3,106,225,128,30,0,0,30,29,62,18,0,765,1066,71.8,13122,4424,408,476,85.7,233,302,77.2,98,226,43.4,0.6,57,64,43,9,95,FALSE,FALSE,FALSE,FALSE
Ricardo Pereira,42,1,10,26,15,10,959,10.7,0,1,0,0,0.09,0.09,0,0.09,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,37,18,20,13,4,12,31,38.7,19,201,69,34.3,87,75,39,28,0,0,28,16,53,26,0,411,525,78.3,6621,2242,210,245,85.7,163,201,81.1,27,49,55.1,0.5,9,19,11,1,44,FALSE,FALSE,FALSE,FALSE
Ayoze Pérez,17,9,10,27,25,15,1331,14.8,2,1,2,0.14,0.07,0.2,0.14,0.2,3.2,3.2,1.3,4.5,0.22,0.08,0.3,0.22,0.3,32,15,8,18,6,9,39,23.1,30,343,91,26.5,65,175,103,31,1,0,30,19,51,6,0,382,499,76.6,5452,1421,237,277,85.6,109,143,76.2,21,43,48.8,-0.3,23,26,27,5,54,FALSE,FALSE,FALSE,FALSE
Kalvin Phillips,16,7,9,24,29,28,2428,27,1,2,1,0.04,0.07,0.11,0.04,0.11,0.4,0.4,3.8,4.1,0.01,0.14,0.15,0.01,0.15,74,44,43,25,6,24,81,29.6,57,638,192,30.1,255,316,67,61,15,0,46,49,123,59,1,1210,1461,82.8,28517,7192,337,376,89.6,537,599,89.6,321,448,71.7,-1.8,34,139,16,3,104,FALSE,FALSE,FALSE,FALSE
Matt Phillips,44,9,18,29,33,20,1828,20.3,2,1,2,0.1,0.05,0.15,0.1,0.15,2.5,2.5,3.1,5.6,0.12,0.15,0.27,0.12,0.27,21,14,5,11,5,7,31,22.6,24,304,72,23.7,87,129,88,48,6,1,42,19,40,23,0,393,567,69.3,6869,2326,200,245,81.6,133,187,71.1,47,98,48,-2.1,27,21,21,14,42,FALSE,FALSE,FALSE,FALSE
Nathaniel Phillips,16,1,11,23,17,15,1456,16.2,1,1,1,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.4,1.5,0.07,0.02,0.09,0.07,0.09,18,12,13,5,0,4,23,17.4,19,193,69,35.8,89,96,8,23,16,2,7,29,47,143,0,923,1058,87.2,19944,6161,265,289,91.7,492,523,94.1,159,231,68.8,0.6,6,79,2,0,60,FALSE,FALSE,FALSE,FALSE
Erik Pieters,35,3,4,31,20,13,1266,14.1,0,1,0,0,0.07,0.07,0,0.07,0.2,0.2,0.5,0.7,0.01,0.03,0.05,0.01,0.05,40,27,23,14,3,19,42,45.2,23,213,55,25.8,95,91,27,44,9,1,35,10,50,42,0,434,580,74.8,7764,2960,187,212,88.2,185,222,83.3,48,117,41,0.5,6,33,4,1,31,FALSE,FALSE,FALSE,FALSE
Daniel Podence,42,9,20,24,24,22,1661,18.5,3,2,3,0.16,0.11,0.27,0.16,0.27,3.1,3.1,1.9,5,0.17,0.1,0.27,0.17,0.27,18,7,5,8,5,6,23,26.1,17,243,66,27.2,65,105,73,7,1,0,6,15,33,6,0,478,636,75.2,8742,2328,240,285,84.2,166,219,75.8,64,96,66.7,0.1,23,45,21,3,66,FALSE,FALSE,FALSE,FALSE
Paul Pogba,18,9,13,27,26,21,1897,21.1,3,3,3,0.14,0.14,0.28,0.14,0.28,2.1,2.1,2.1,4.2,0.1,0.1,0.2,0.1,0.2,37,26,15,18,4,13,35,37.1,22,299,99,33.1,88,129,82,22,1,0,21,25,62,47,0,1112,1343,82.8,21208,5036,504,567,88.9,414,465,89,167,250,66.8,0.9,24,113,34,3,111,FALSE,FALSE,FALSE,FALSE
Dennis Praet,5,9,10,26,15,10,718,8,1,1,1,0.13,0.13,0.25,0.13,0.25,0.5,0.5,0.8,1.3,0.07,0.1,0.16,0.07,0.16,12,7,5,6,1,6,14,42.9,8,132,32,24.2,36,64,32,14,2,0,12,9,21,3,0,248,313,79.2,3875,850,135,150,90,92,119,77.3,14,30,46.7,0.2,7,10,7,2,20,FALSE,FALSE,FALSE,FALSE
Davy Pröpper,35,7,3,28,7,2,213,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,7,5,0,7,0,2,5,40,3,30,13,43.3,13,15,2,2,0,0,2,2,9,0,0,73,96,76,1416,432,25,33,75.8,39,48,81.3,8,11,72.7,0,0,7,5,1,13,FALSE,FALSE,FALSE,FALSE
Christian Pulisic,53,6,5,21,27,18,1738,19.3,4,2,4,0.21,0.1,0.31,0.21,0.31,5.4,5.4,2.8,8.2,0.28,0.14,0.43,0.28,0.43,25,17,11,11,3,6,21,28.6,15,336,109,32.4,69,149,118,31,3,0,28,9,34,9,0,552,690,80,8355,1840,329,384,85.7,179,225,79.6,30,45,66.7,-0.8,26,31,40,2,66,FALSE,FALSE,FALSE,FALSE
